date,temp,humidity,rainfall
1/1/2025,21.74,58.8,69.9
1/2/2025,36.72,46.2,115.8
1/3/2025,31.03,90.9,82.5
1/4/2025,27.57,88.3,98.2
1/5/2025,16.06,54.2,169.5
1/6/2025,16.06,76.3,69.5
1/7/2025,13.51,84.9,173
1/8/2025,34.52,70.5,163
1/9/2025,27.63,69.1,35.2
1/10/2025,30.41,53.3,12.5
1/11/2025,12.54,45.1,18.1
1/12/2025,37.22,89.3,3.3
1/13/2025,33.64,89.5,17
1/14/2025,17.52,74.8,122.9
1/15/2025,16.73,58.6,12.8
1/16/2025,16.77,59.2,57.4
1/17/2025,19.91,79.9,152.1
1/18/2025,25.64,89.3,4.2
1/19/2025,23.23,88.8,146.6
1/20/2025,19.57,82.9,50.7
1/21/2025,27.91,75.3,21.3
1/22/2025,15.63,44.6,125.4
1/23/2025,19.6,48.9,113.2
1/24/2025,21.53,89.4,157.9
1/25/2025,23.86,73.4,132.3
1/26/2025,32.41,40.5,144.6
1/27/2025,17.19,45.6,50.8
1/28/2025,25.37,76.5,31.9
1/29/2025,27.4,40.3,135.1
1/30/2025,13.21,48.8,145.2
1/31/2025,27.8,70.2,178.3
2/1/2025,16.43,78.1,74.3
2/2/2025,13.69,75.9,67
2/3/2025,36.67,52.3,139.8
2/4/2025,37.11,79.2,61.3
2/5/2025,33.02,53,167.5
2/6/2025,19.92,57.9,154.5
2/7/2025,14.54,81.1,77.2
2/8/2025,29.79,75.7,135.2
2/9/2025,23.44,86.7,135.8
2/10/2025,15.17,76.2,18.6
2/11/2025,24.87,71.3,162.5
2/12/2025,12.89,45.2,90.9
2/13/2025,35.64,60.2,148.8
2/14/2025,18.73,54.6,57.6
2/15/2025,29.23,53.4,161.2
2/16/2025,20.1,93.5,70.1
2/17/2025,25.52,61.6,2
2/18/2025,26.21,89.1,163
2/19/2025,16.81,74.7,16.4
2/20/2025,37.21,83.7,57.5
2/21/2025,32.15,67.6,171
2/22/2025,36.43,71.7,171.1
2/23/2025,35.27,67.1,103.2
2/24/2025,27.55,50.7,113.7
2/25/2025,35.97,79.7,80.7
2/26/2025,14.3,55.4,52.8
2/27/2025,17.1,41.3,59.2
2/28/2025,13.18,75.5,121.1
3/1/2025,20.46,49.7,135.4
3/2/2025,22.11,91.7,142.5
3/3/2025,19.06,92.5,142.1
3/4/2025,33.55,90.3,16.4
3/5/2025,21.28,60.4,89
3/6/2025,19.3,40.9,10.4
3/7/2025,26.11,91.1,98.9
3/8/2025,15.66,63.6,79.5
3/9/2025,32.86,93.2,159.8
3/10/2025,13.94,93,63.2
3/11/2025,37.66,86.9,21.1
3/12/2025,32.08,56.2,25.7
3/13/2025,17.17,61.2,137.1
3/14/2025,12.14,86.8,111.3
3/15/2025,33.2,57.4,18.2
3/16/2025,30.38,49.3,15.1
3/17/2025,30.95,70.6,126.2
3/18/2025,32.05,91.5,13.1
3/19/2025,13.93,78.3,147.9
3/20/2025,21.32,71.4,127.1
3/21/2025,15.01,45.3,14.6
3/22/2025,34.44,73.8,15.3
3/23/2025,28.21,94.5,177.6
3/24/2025,20.6,47.7,67.4
3/25/2025,13.65,68.5,66.7
3/26/2025,20.09,88.3,146.3
3/27/2025,20.45,80.7,170.5
3/28/2025,30.97,78.3,177.5
3/29/2025,28.58,78.6,135.6
3/30/2025,35.07,59.8,67.7
3/31/2025,24.28,56.1,15
4/1/2025,15.11,84.5,139.9
4/2/2025,30.54,84.6,100.5
4/3/2025,31.78,87.7,76.4
4/4/2025,26.59,90.2,163.1
4/5/2025,32.05,68.1,20
4/6/2025,24.84,67.6,88.7
4/7/2025,25.59,83.9,2
4/8/2025,23.12,75.7,84.4
4/9/2025,12.66,78.6,10.1
4/10/2025,14.81,83.8,21.4
4/11/2025,12.82,89,21.2
4/12/2025,28.55,58.6,116.9
4/13/2025,20.17,60.7,134.3
4/14/2025,25.22,45.2,105
4/15/2025,35.6,71.8,173.2
4/16/2025,18.48,42,67.5
4/17/2025,22.67,65.6,51.4
4/18/2025,31.64,69.8,156.3
4/19/2025,17.95,55.8,40.2
4/20/2025,14,72.5,173.4
4/21/2025,19.53,41.7,2.2
4/22/2025,16.19,42.1,174.6
4/23/2025,36.17,85.2,7.8
4/24/2025,33.01,59.8,160.4
4/25/2025,28.47,47,95
4/26/2025,34.66,68.7,178.7
4/27/2025,32.9,82.3,13.3
4/28/2025,16.85,51.9,99.7
4/29/2025,35.21,74.3,174.5
4/30/2025,26.02,44.7,94.2
5/1/2025,32.99,42.8,113.3
5/2/2025,35.3,69.2,125.2
5/3/2025,20.27,69.7,81.8
5/4/2025,14.86,75.1,113
5/5/2025,17.93,79.9,105.2
5/6/2025,23.1,93.7,162.2
5/7/2025,33.27,68.4,8.2
5/8/2025,34.38,57.8,50.6
5/9/2025,12.18,83.7,171.1
5/10/2025,25.28,54.9,160.2
